GEO.id2,total_households,total_households_no_internet
42003512000,1116,362
42003512800,611,195
42003512900,510,172
42003513800,696,288
42003514000,943,248
42003515100,1349,279
42003515200,1162,168
42003515300,875,298
42003515401,1025,160
42003516100,710,75
42003516200,859,54
42003517000,956,261
42003518001,1577,249
42003519000,1270,117
42003520001,1501,254
42003520002,1501,176
42003521100,1800,201
42003521200,1922,211
42003521301,2096,474
42003521302,2147,365
42003521401,1288,128
42003521402,1517,103
42003521500,1869,339
42003522000,1498,418
42003523100,1528,221
42003523200,1729,318
42003523300,1693,389
42003523400,2339,371
42003523501,1918,467
42003523502,663,221
42003523600,1999,213
42003523701,1802,406
42003523702,2509,573
42003523800,2194,425
42003524000,1242,375
42003525100,954,93
42003525200,1201,265
42003525300,938,149
42003526101,2997,184
42003526102,893,190
42003526201,1529,259
42003526202,1885,338
42003526301,1725,143
42003526302,2205,267
42003550900,698,300
42003551200,1686,637
42003551300,1250,207
42003551900,951,535
42003552000,1134,391
42003552100,544,277
42003552200,491,212
42003552300,877,267
42003552400,1282,322
42003560400,903,185
42003560500,1342,69
42003560600,585,200
42003561000,581,148
42003561100,393,158
42003561200,498,215
42003561400,2636,889
42003561500,1738,418
42003561600,890,258
42003561700,344,69
42003561900,1073,469
42003562000,1813,302
42003562300,1408,650
42003562400,1214,249
42003562500,1101,257
42003562600,1026,276
42003562700,1205,278
42003562800,792,212
42003562900,813,248
42003563000,1293,183
42003563100,1708,289
42003563200,1506,427
42003563300,555,41
42003563800,1695,315
42003563900,1973,352
42003564000,2447,357
42003564100,358,19
42003564200,1064,212
42003564400,2711,596
42003564500,1241,203
42003980000,0,0
42003980100,22,13
42003980300,0,0
42003980400,0,0
42003980500,8,4
42003980600,3,3
42003980700,4,0
42003980800,0,0
42003980900,0,0
42003981000,0,0
42003981100,4,0
42003981200,0,0
42003981800,12,8
42003982200,19,0
42005950100,1914,568
42005950200,844,221
42005950300,1255,325
42005950400,952,177
42005950500,2259,428
42005950600,1289,289
42005950700,1574,458
42005950800,1581,325
42005950900,2154,478
42005951000,1385,375
42005951100,1904,797
42005951200,2404,318
42005951300,1078,134
42005951400,1120,275
42005951500,1227,295
42005951600,1964,516
42005951700,1529,354
42005951800,1013,242
42005951900,796,144
42007600601,835,203
42007600602,1039,174
42007600700,3047,477
42007601000,1498,244
42007601100,1003,183
42007601200,1209,356
42007601300,1064,350
42007601400,1481,398
42007601600,636,185
42007601700,1284,240
42007601800,3375,678
42007602100,1666,307
42007602300,1139,270
42007602400,877,155
42007602500,733,265
42007602601,1865,251
42007602602,1300,239
42007602701,734,143
42007602702,1419,251
42007602800,1134,388
42007602900,1008,187
42007603000,1190,207
42007603202,2559,323
42007603300,1748,400
42007603400,906,309
42007603500,619,137
42007603600,972,182
42007603700,1857,412
42007603801,1217,153
42007603802,1250,88
42007603803,1392,240
42007603900,1368,226
42007604000,1139,248
42007604100,1163,309
42007604200,804,232
42007604500,1097,351
42007604600,1519,438
42007604700,700,151
42007604800,1814,404
42007604901,1567,261
42007604902,1975,356
42007605001,1005,139
42007605002,1351,237
42007605100,1884,337
42007605200,1124,244
42007605300,1309,286
42007605400,1652,513
42007605500,2019,462
42007605600,1415,282
42007605700,1008,419
42007605800,2415,379
42009960100,1453,359
42009960200,1430,406
42009960300,1971,456
42009960400,1930,434
42009960500,1476,406
42009960600,2123,754
